ID,Filename,Title,Description,Created At,Updated At,Source
32453913,1_untitled.txt,,,2024-11-23 12:46:32 UTC,2024-11-23 12:46:54 UTC,
32453914,2_glossary-the-consilience-project.webloc,Glossary - The Consilience Project,The Consilience Project is a publication of the Civilization Research Institute (CRI),2024-11-23 12:47:09 UTC,2024-11-23 14:38:52 UTC,https://consilienceproject.org/glossary/
32453918,3_commons.txt,Commons,,2024-11-23 12:47:33 UTC,2024-11-23 14:46:38 UTC,
32455074,4_untitled.txt,,,2024-11-23 14:39:10 UTC,2024-11-23 14:39:10 UTC,
3276561,5_moloch-vtdjdv6injm.webloc,moloch,,2024-10-28 18:44:57 UTC,2025-01-01 01:46:35 UTC,
32524120,6_untitled.txt,,,2024-11-26 09:28:12 UTC,2024-11-26 09:28:12 UTC,
32525674,7_untitled.txt,,,2024-11-26 11:02:38 UTC,2024-11-26 11:02:38 UTC,
32528616,8_untitled.txt,,,2024-11-26 13:17:31 UTC,2024-11-26 13:17:31 UTC,
32492669,9_untitled.txt,,,2024-11-25 08:38:28 UTC,2024-11-27 15:47:15 UTC,
32528759,10_untitled.txt,,,2024-11-26 13:24:48 UTC,2024-11-27 15:49:45 UTC,
32880670,11_untitled.txt,,,2024-12-10 10:58:29 UTC,2024-12-10 10:59:24 UTC,
32928858,12_untitled.txt,,,2024-12-11 23:00:59 UTC,2024-12-14 13:44:35 UTC,
32928881,13_untitled.txt,,,2024-12-11 23:02:04 UTC,2024-12-11 23:02:04 UTC,
32929036,14_untitled.txt,,,2024-12-11 23:11:58 UTC,2024-12-11 23:11:58 UTC,
32962901,15_untitled.txt,,,2024-12-13 11:06:28 UTC,2024-12-13 11:06:28 UTC,
32962915,16_dfc05bf0-de04-4c1c-9ebb-d354bb283838-png.jpg,dfc05bf0-de04-4c1c-9ebb-d354bb283838.png,,2024-12-13 11:07:50 UTC,2024-12-13 11:08:01 UTC,
32963246,17_untitled.txt,,,2024-12-13 11:33:55 UTC,2024-12-13 11:33:55 UTC,
32963773,18_untitled.txt,,,2024-12-13 12:02:37 UTC,2024-12-13 12:03:28 UTC,
33332301,19_untitled.txt,,,2025-01-01 21:38:39 UTC,2025-01-01 21:38:39 UTC,
33475088,20_untitled.txt,,,2025-01-07 15:42:29 UTC,2025-01-07 15:42:29 UTC,
33475093,21_untitled.txt,,,2025-01-07 15:42:34 UTC,2025-01-07 15:42:34 UTC,
33475100,22_untitled.txt,,,2025-01-07 15:42:50 UTC,2025-01-07 15:42:50 UTC,
33482388,23_cetai.txt,CETAI,,2025-01-07 19:08:10 UTC,2025-01-09 18:45:28 UTC,
33577948,24_cardona-s-mistake.txt,Cardona's Mistake,,2025-01-10 18:51:13 UTC,2025-01-10 18:51:27 UTC,
33615697,25_secret-sauce-theory.txt,“secret sauce” theory,,2025-01-12 16:29:50 UTC,2025-01-12 16:30:06 UTC,
33647669,26_untitled.txt,,,2025-01-13 20:56:34 UTC,2025-01-13 20:56:34 UTC,
33648597,27_image-png.png,image.png,,2025-01-13 21:26:28 UTC,2025-01-13 21:26:43 UTC,
33707431,28_untitled.txt,,,2025-01-15 19:54:01 UTC,2025-01-15 19:54:15 UTC,
33707438,29_untitled.txt,,,2025-01-15 19:54:21 UTC,2025-01-15 19:54:21 UTC,
33707466,30_untitled.txt,,,2025-01-15 19:55:00 UTC,2025-01-15 19:55:02 UTC,
33733926,31_untitled.txt,,,2025-01-16 17:14:18 UTC,2025-01-16 17:14:18 UTC,
3376240,32_the-great-fact.webloc,the great fact,,2024-12-04 09:58:24 UTC,2025-01-16 17:14:32 UTC,
3472264,33_wetiko-h5i5qkcmmd8.webloc,wetiko,,2025-01-15 19:49:00 UTC,2025-01-16 17:14:39 UTC,
33736825,34_untitled.txt,,,2025-01-16 19:10:42 UTC,2025-01-16 19:10:42 UTC,
33758356,35_untitled.txt,,,2025-01-17 15:54:23 UTC,2025-01-17 15:54:23 UTC,
33758375,36_untitled.txt,,,2025-01-17 15:55:16 UTC,2025-01-17 15:55:45 UTC,
33779142,37_cognitive-hyper-abundance.txt,cognitive hyper abundance,,2025-01-18 14:34:19 UTC,2025-01-18 14:35:40 UTC,
33780751,38_untitled.txt,,,2025-01-18 16:43:25 UTC,2025-01-18 16:43:25 UTC,
33780757,39_untitled.txt,,,2025-01-18 16:43:42 UTC,2025-01-18 16:43:42 UTC,
33780761,40_untitled.txt,,,2025-01-18 16:43:52 UTC,2025-01-18 16:43:52 UTC,
33780763,41_untitled.txt,,,2025-01-18 16:43:58 UTC,2025-01-18 16:43:58 UTC,
33780766,42_untitled.txt,,,2025-01-18 16:44:09 UTC,2025-01-18 16:44:09 UTC,
33780770,43_untitled.txt,,,2025-01-18 16:44:18 UTC,2025-01-18 16:44:18 UTC,
33780775,44_untitled.txt,,,2025-01-18 16:44:26 UTC,2025-01-18 16:44:26 UTC,
33780781,45_untitled.txt,,,2025-01-18 16:44:31 UTC,2025-01-18 16:44:31 UTC,
34299361,46_untitled.txt,,,2025-02-05 15:59:47 UTC,2025-02-05 15:59:56 UTC,
3538152,47_new-american-dynamism.webloc,New American Dynamism,,2025-02-05 12:25:27 UTC,2025-02-05 16:00:07 UTC,
34356185,48_untitled.txt,,,2025-02-07 14:10:28 UTC,2025-02-07 14:10:28 UTC,
34597487,49_untitled.txt,,,2025-02-17 14:28:01 UTC,2025-02-17 14:28:01 UTC,
